experiment,c,T_PM,d50,d90,d10,T_TM,mf_PM,mf_TM,Q_g,w_crystal,c_in,T_PM_in,T_TM_in
file_49595.txt,0.1732980159986348,312.6205516145836,0.0003941112745508494,0.0005185454006945766,0.00045784011965570244,312.3225840867885,0.0004992847239924062,0.007668038203831924,4.969934366692017e-07,0.005194103266216225,0.17695047308712,323.12063736011265,323.12063736011265
file_50501.txt,0.18073536379488647,313.3138759557932,0.00040677142109699706,0.00045930636125717493,0.00035329794064952125,313.04594480022985,0.0005206823223721055,0.009184543022541092,5.415298898705021e-07,0.006218383153799724,0.18999999999999997,323.15,323.15
file_50617.txt,0.17450740587050176,312.8721059596789,0.00041012940500402626,0.0004727561180842179,0.00041913849507400403,312.545377621411,0.0004598220921052229,0.007251338518021694,5.038117790684203e-07,0.00454901987471711,0.17695047308712,323.12063736011265,323.12063736011265
file_51551.txt,0.18205331397184416,313.527268022795,0.0004260939126879203,0.0005055104731258078,0.0003734341179128558,313.2591953861722,0.0004917802207524466,0.008383033128643693,4.842634730682246e-07,0.004802356415694952,0.18999999999999997,323.15,323.15
file_51993.txt,0.17559179947536324,314.5211934450928,0.00042807223216106136,0.000479681139024785,0.0003683460198723651,314.13615538277475,0.0005915894359185528,0.009182051331803867,6.120558087450423e-07,0.005375766005659198,0.17695047308712,323.12063736011265,323.12063736011265
file_5325.txt,0.17507111665221867,313.72376966128036,0.0004640078034855462,0.0005424096466457119,0.0003528800703055237,313.4638834715761,0.0005082613789606341,0.007771323915080425,4.161030345956146e-07,0.00453639238064016,0.17695047308712,323.12063736011265,323.12063736011265
file_53588.txt,0.17277362085212877,312.4159992572025,0.00040817459221319686,0.0004961177801576172,0.00034548392754172176,312.08792090216804,0.00047199874331300745,0.0076847605197517144,5.206572571279039e-07,0.005863638186180676,0.17695047308712,323.12063736011265,323.12063736011265
file_54059.txt,0.18334758250970298,315.9104089766898,0.0004268229431316519,0.0004802289247743046,0.00032241345842728866,315.65625414443514,0.0004504719648754728,0.010679739046329585,5.039186478832337e-07,0.005567128155761261,0.18999999999999997,323.15,323.15
file_54097.txt,0.18251081905413946,315.3240523502542,0.000448280861567074,0.000543436282859675,0.00033325564427417353,315.07576840777193,0.00039162693164238407,0.009490399213137088,5.32274158121335e-07,0.006160119973487275,0.18999999999999997,323.15,323.15
file_54889.txt,0.17186825491772378,310.4231089694416,0.0004736332386260039,0.000514747963512423,0.000363852050766699,310.1039825962578,0.0004525136548881984,0.006103612213345599,5.461144481298064e-07,0.004969750019671364,0.17695047308712,323.12063736011265,323.12063736011265
